Konu,Soru,Cevap
Check-in,Check-in yaptıktan sonra koltuk numaramı değiştirebilir miyim?,Check-in işleminizin ardından biniş kartınız henüz basılmadıysa koltuk numaranızı değiştirebilirsiniz. 
Check-in,Diğer havayolu firmalarına bağlantılı uçuşlarım için online check-in yapabilir miyim?,"Seyahatiniz Türk Hava Yolları ile başlayıp anlaşmalı havayolu firmalarıyla devam ediyorsa ve bağlantılı uçuş ilgili havayolunda check-in işlemine açıksa, gideceğiniz son noktaya kadar online check-in yapabilirsiniz."
Check-in,Grup biletler için online check-in yapabilir miyim?,Seyahat acentesinden satın aldığınız grup biletleriniz için gruptaki yolcuların soyadlarını bilet numaraları ile beraber tek tek yazarak bir işlemde en fazla 9 yolcu olmak üzere check-in işlemini gerçekleştirebilirsiniz.
Check-in,Online check-in veya kiosk check-in işlemi esnasında acil çıkış koltuklarını seçebilir miyim?,"Acil çıkış koltukları, check-in öncesinde veya check-in esnasında satın alınarak seçilebilmektedir. Satın alınmış acil çıkış koltukların check-in işlemi, online olarak ve kiosk aracılığıyla yapılabilmektedir. Kiosk üzerinden acil çıkış koltuğu satın alım işlemi yapılamamaktadır."
Check-in,Çocuğumun bileti için online check-in yapabilir miyim?,Aynı rezervasyon kaydında (PNR) olan tüm yolcular için online check-in yapabilirsiniz.
Check-in,Havalimanına gelirken e-biletimin çıktısını yanıma almam gerekir mi?,"Hayır, e-biletinizin çıktısını yanınızda taşımak zorunda değilsiniz. Bilet numarası, rezervasyon kodu (PNR) ve kimliğinizle kontuarda işlem yapabilirsiniz."
Check-in,Online check-in işlemimi nasıl iptal edebilirim?,Çağrı merkezimizi arayarak online check-in işleminizi iptal edebilirsiniz.
Check-in,Kontuarda check-in işlemini nasıl yapabilirim?,Check-in kontuarında bilet ve kimlik kontrolü işlemlerinizi tamamladıktan sonra varsa bagajınız teslim alınır ve biniş kartınız verilir. Bu işlemlerden sonra havalimanında bulunan bilgi ekranlarını takip ederek uçuş kapınızı kontrol edebilir ve biniş kartınızla uçağa geçebilirsiniz.
Check-in,Kiosk check-in işlemini nasıl gerçekleştirebilirim?,"Öncelikle check-in yapabileceğiniz kioskların kolayca kullanılabilecek şekilde tasarlandığını ve dokunmatik ekranlarıyla oldukça basit bir menüye sahip olduğunu belirtelim. Check-in işlemlerine başlamak için Miles&Smiles veya herhangi bir banka kartını kart okutucuya yerleştirebilir ya da tercihe göre e-bilet numarası veya rezervasyon kodunu (PNR) girebilirsiniz. Check-in işlemleri, koltuk seçiminin ardından biniş kartınızın üretilmesiyle sona erer. Check-in sırasında kart okuyucuya yerleştirdiğiniz kartınız sadece kimlik bilgilerinize ulaşmak amacıyla kullanılır. Detaylı bilgi için check-in sayfamızı ziyaret edebilirsiniz."
Check-in,Check-in işlemi için ne kadar süre önce havalimanında olmalıyım?,"Havalimanlarında alınan ek önlemler sebebiyle oluşabilecek zaman kayıplarına karşı, yolcularımızın uçuşlarından en az 3 saat önce terminale gelmeleri önerilmektedir."
Ücret koşulları,"Biletim için iptal, iade, değişiklik ve indirim haklarım bulunuyor mu?","Biletinize ait ücret koşullarını inceleyerek biletinizin size sunduğu hakları öğrenebilirsiniz. Biletinizin iptal/iade, değişiklik ve indirim koşullarıyla ilgili detaylı bilgilere ücret koşulları sayfamızdan ulaşabilirsiniz."
Ücret koşulları,Uluslararası uçuşlarda Lounge İstanbul'a misafirimle birlikte giriş yapabilir miyim?,"Elite ve Elite Plus yolcularımız bir misafirleri veya aile bireyleri (eş ve çocuklar), Star Alliance Gold Card sahibi yolcularımız ise bir misafirleriyle birlikte Lounge İstanbul’a giriş yapabilir."
Ücret koşulları,Türk Hava Yolları ile seyahat ederken Lounge İstanbul'a ücretsiz giriş yapabilir miyim?,"Lounge İstanbul'a Miles&Smiles Elite, Elite Plus ve Star Alliance Gold üyesi yolcularımız giriş yapabilir. Ayrıca Business Class'ta seyahat eden tüm yolcularımız Lounge İstanbul'a ücretsiz giriş yapabilir."
Ücret koşulları,Biletimi online satın aldığımda öğrenci indiriminden faydalanabilir miyim?,"İnternet sitemizi ve mobil uygulamızı kullanarak öğrenci indiriminden yararlanabilirsiniz. Bu indirimden yararlanmak için, Miles&Smiles üyesi olmanız ve hesabınız için öğrenci tanımlaması yapmanız yeterlidir. Bulunduğunuz ülke ve uçacağınız parkura göre izlemeniz gereken adımlar ve kazanacağınız avantajlara ilişkin detaylı bilgileri burada bulabilirsiniz. Miles&Smiles hesabınız öğrenci olarak tanımlanınca, Miles&Smiles hesabınıza giriş yapıp; bilet alımı sırasında “öğrenci” yolcu tipini seçerek öğrenci avantajlarıyla biletinizi alabilirsiniz."
Ücret koşulları,Uçuşlarda bebeklere uygulanan indirim hakkında bilgi alabilir miyim?,Seyahatin başladığı gün itibarıyla 2 yaş gününü kutlamamış olan bebekler tüm iç hat uçuşlarda her sınıf için farklı ücretlerle koltuk verilmeden yolculuk yaparlar.
Ücret koşulları,Çocuğum uçuşlarda indirimli seyahat edebilir mi?,"İç hat uçuşlarımızda 2. yaşını kutlamış fakat henüz 12. yaşını kutlamamış olan çocuk yolcularımıza ücret sınıfına bağlı olarak %10 oranında çocuk indirimi yapılır. Bilet düzenlenme esnasında çocuğun yaşını, nüfus cüzdanı veya başka bir resmi belgeyle belgelemeniz gerekiyor"
Ücret koşulları,Gençlik indiriminden nasıl faydalanabilirim?,İç hat uçuşlarımızda gençlik indirimi uygulanmıyor. Dış hat uçuşlarımızda ise kimi güzergahlarda gençlik indirimi uygulanan ücretler bulunuyor.
Uçuş iptali ve değişikliği,OHAL duyurusundan nasıl haberdar olabilirim?,Olağanüstü hal duyuruları web sitemiz üzerinden yapılmaktadır.
Uçuş iptali ve değişikliği,Rötar durumunda hangi kanallardan işlem yapabilirim?,Rötar durumunda çağrı merkezi ve satış ofislerimizden işlemlerinizi gerçekleştirebilirsiniz.
Uçuş iptali ve değişikliği,Tarife değişikliğinden nasıl haberdar olabilirim?,"Türk Hava Yolları, siz değerli yolcularımıza tarife değişikliği gerçekleşmesi halinde SMS ve e-posta gönderimi sağlamaktadır."
Uçuş iptali ve değişikliği,Uçuşumun iptal olduğundan nasıl haberdar olabilirim?,"Türk Hava Yolları, siz değerli yolcularımıza uçuş iptali gerçekleşmesi halinde SMS ve e-posta gönderimi sağlamaktadır. Ayrıca web sitemiz ve mobil uygulamamız üzerinden uçuş durumunuzu kontrol edebilirsiniz."
Uçuş iptali ve değişikliği,Rötar durumunda hangi haklara sahibim?,Rötar durumlarında sahip olduğunuz hakları öğrenmek için Yolcu Hakları sayfasına göz gezdirebilirsiniz.
Uçuş iptali ve değişikliği,Rötar (tehir) nedir?,"Rötar, uçakların planlanan kalkış ve iniş saatinden geç havalanması veya iniş yapmasıdır."
Uçuş iptali ve değişikliği,Tarife değişikliği nedir?,"Uçuş bilgisinde (tarih, saat ve uçuş numarası) operasyonel sebeplerle gerçekleşebilecek olan herhangi bir değişikliğe tarife değişikliği denir."
